Token	POS
Я	PRON
сама	DET
даже	PART
не	PART
решилась	VERB
советовать	VERB
,	PUNCT
не	PART
представляю	VERB
такого	DET
пока	SCONJ
!	PUNCT
Возвращались	VERB
пугливые	ADJ
ветра	NOUN
и	CCONJ
постилали	VERB
степь	NOUN
ровным	ADJ
прахом	NOUN
.	PUNCT
При	ADP
этом	DET
в	ADP
Таджикистане	PROPN
размещаются	VERB
известные	DADJ
на	ADP
весь	PRON
мир	NOUN
высокогорные	ADJ
массивы	NOUN
и	CCONJ
Памир	PROPN
.	PUNCT
Табаков	PROPN
и	CCONJ
Броневой	PROPN
адекватны	ADJ
своим	DET
ролям	NOUN
,	PUNCT
не	PART
зря	ADV
родственники	NOUN
настоящего	ADJ
Шелленберга	PROPN
благодарили	VERB
актера	NOUN
за	ADP
то	ADP
,	PUNCT
как	PART
он	PRON
показал	VERB
их	PRON
предка	NOUN
…	PUNCT
Летучий	PROPN
согласился	VERB
перенести	VERB
пару	NOUN
на	ADP
субботу	NOUN
,	PUNCT
чем	PRON
очень	ADV
обрадовал	VERB
весь	PRON
поток	NOUN
.	PUNCT
Столовая	NOUN
при	ADP
горисполкоме	NOUN
пустовала	VERB
,	PUNCT
одни	DET
щи	NOUN
на	ADP
комбижире	NOUN
да	CCONJ
винегрет	NOUN
из	ADP
картофеля	NOUN
и	CCONJ
свеклы	NOUN
,	PUNCT
огурцы	NOUN
в	ADP
городе	NOUN
не	PART
водились	VERB
.	PUNCT
Две	NUM
комнаты	NOUN
,	PUNCT
кухня	NOUN
,	PUNCT
туалет	NOUN
и	CCONJ
неработающая	ADJ
ванная	NOUN
были	AUX
буквально	ADV
забиты	VERB
тюками	NOUN
и	CCONJ
коробками	NOUN
со	ADP
старыми	ADJ
вещами	NOUN
.	PUNCT
Понятно	ADV
,	PUNCT
что	PRON
в	ADP
числе	NOUN
предприятий	NOUN
,	PUNCT
которые	PRON
могут	VERB
быть	AUX
деприватизированы	VERB
таким	DET
способом	NOUN
,	PUNCT
вряд	PART
ли	PART
окажется	VERB
хоть	PART
одна	NUM
парикмахерская	NOUN
или	CCONJ
прачечная	NOUN
.	PUNCT
Они	PRON
делаются	VERB
тоже	PART
из	ADP
сухой	ADJ
ели	NOUN
и	CCONJ
устанавливаются	VERB
на	ADP
расстоянии	NOUN
5	NUM
-	PUNCT
6	NUM
см	NOUN
друг	NOUN
от	ADP
друга	NOUN
.	PUNCT
Исследования	NOUN
показывают	VERB
,	PUNCT
что	PRON
люди	NOUN
,	PUNCT
страдающие	VERB
этим	DET
нервным	ADJ
заболеванием	NOUN
,	PUNCT
ели	NOUN
очень	ADV
мало	ADV
орехов	NOUN
.	PUNCT
Нашлась	VERB
карта	NOUN
шестой	ADJ
части	NOUN
земной	ADJ
суши	NOUN
.	PUNCT
Летом	ADV
дуют	VERB
слабые	ADJ
ветры	NOUN
,	PUNCT
в	ADP
основном	ADJ
бризы	NOUN
:	PUNCT
днем	ADV
с	ADP
моря	NOUN
,	PUNCT
утром	ADV
и	CCONJ
вечером	ADV
с	ADP
суши	NOUN
.	PUNCT
Не	PART
суши	VERB
мокрое	ADJ
белье	NOUN
на	ADP
работающем	VERB
системном	ADJ
блоке	NOUN
!	PUNCT
Мне	PRON
работать	VERB
раз	NOUN
в	ADP
10	NUM
больше	ADJ
нравится	VERB
,	PUNCT
чем	PRON
в	ADP
институте	NOUN
тупо	PART
сидеть	VERB
на	ADP
парах	NOUN
...	PUNCT
Сидеть	VERB
и	CCONJ
тупо	PART
перебирать	VERB
бумажки	NOUN
—	PUNCT
это	DET
не	PART
мое	DET
.	PUNCT
Прямо	PART
в	ADP
таком	DET
виде	NOUN
можешь	VERB
и	CCONJ
отвечать	VERB
.	PUNCT
Странно	ADV
,	PUNCT
разделяя	VERB
волнение	NOUN
Гетманова	PROPN
и	CCONJ
Неудобнова	PROPN
,	PUNCT
торопивших	VERB
его	PRON
,	PUNCT
Новиков	PROPN
,	PUNCT
сам	DET
не	PART
зная	VERB
почему	ADV
,	PUNCT
оттягивал	VERB
свой	DET
отъезд	NOUN
.	PUNCT
В	ADP
присутствии	NOUN
судьи	NOUN
спорящие	VERB
стороны	NOUN
,	PUNCT
приводя	VERB
аргументы	NOUN
,	PUNCT
пытаются	VERB
найти	VERB
решение	NOUN
,	PUNCT
которое	ADJ
всех	PRON
бы	PART
устроило	VERB
.	PUNCT
Разразился	VERB
жуткий	ADJ
скандал	NOUN
.	PUNCT
сделавший	VERB
некоторым	ADJ
фигурантам	NOUN
рынка	NOUN
необходимое	ADJ
паблисити	NOUN
,	PUNCT
а	CCONJ
Лужкову	PROPN
принесший	VERB
одни	DET
неприятности	NOUN
.	PUNCT
Очень	ADV
приятно	ADV
,	PUNCT
что	PRON
портал	NOUN
создал	VERB
думающий	VERB
молодой	ADJ
мужчина	NOUN
.	PUNCT
Известен	VERB
еще	PART
поющий	VERB
бык	NOUN
,	PUNCT
он	PRON
тянул	VERB
ноты	NOUN
своим	DET
мягким	ADJ
баритоном	NOUN
.	PUNCT
Смотришь	VERB
фильм	NOUN
и	CCONJ
понимаешь	VERB
,	PUNCT
какой	PRON
большой	ADJ
вклад	NOUN
сделал	VERB
каждый	ADJ
из	ADP
них	PRON
в	ADP
эту	DET
великолепную	ADJ
киноработу	NOUN
.	PUNCT
С	ADP
утра	NOUN
мы	PRON
принесли	VERB
домой	ADV
кукаляку	NOUN
.	PUNCT
Утреннее	ADJ
заседание	NOUN
прошло	VERB
пероно	ADJ
:	PUNCT
мы	PRON
договорились	VERB
о	ADP
многих	ADJ
вещах	NOUN
,	PUNCT
которые	PRON
раньше	ADV
вызывали	VERB
в	ADP
команде	NOUN
разногласия	NOUN
.	PUNCT
